,Temperature,WindSpeed,Pa,Humidity,Rain
825,12,24,1029,75,sun
826,-3,13,823,28,rain
827,23,18,869,69,sun
828,-6,16,844,50,rain
829,13,16,995,47,sun
830,37,20,884,24,sun
831,-5,9,980,3,sun
832,23,6,839,32,rain
833,-3,10,923,8,sun
834,18,29,836,92,rain
835,26,9,785,19,rain
836,-8,6,1001,16,sun
837,14,21,990,21,sun
838,7,27,1008,37,sun
839,-5,13,966,75,sun
840,19,1,954,78,sun
841,8,11,991,63,sun
842,15,13,998,32,sun
843,-6,26,994,3,sun
844,0,7,772,56,rain
845,11,13,861,11,sun
846,11,6,833,64,rain
847,33,23,946,7,sun
848,5,13,983,34,sun
849,9,4,913,3,sun
850,14,27,837,72,rain
851,10,13,789,29,rain
852,13,0,995,31,sun
853,17,18,975,44,sun
854,21,28,792,51,rain
855,-6,15,758,46,rain
856,22,18,956,97,sun
857,32,28,1028,41,rain
858,-8,23,958,95,sun
859,12,26,816,4,rain
860,25,22,886,3,sun
861,23,19,810,35,rain
862,11,26,926,87,rain
863,26,29,939,32,sun
864,10,18,756,2,rain
865,0,22,921,8,sun
866,19,17,805,1,rain
867,35,13,927,30,sun
868,1,13,768,92,rain
869,19,11,991,48,sun
870,26,7,805,29,rain
871,5,11,830,47,rain
872,9,12,963,46,sun
873,27,20,998,1,sun
874,15,6,903,35,sun
875,0,1,1021,58,sun
876,-8,10,1018,10,sun
877,1,11,861,92,rain
878,21,9,1026,64,sun
879,31,4,896,56,rain
880,3,29,860,50,sun
881,14,23,836,77,rain
882,30,23,817,9,rain
883,16,10,920,23,sun
884,33,15,1024,47,rain
885,-3,12,1029,71,sun
886,20,13,866,96,rain
887,2,5,1021,33,sun
888,30,23,986,70,rain
889,30,3,796,86,rain
890,32,15,1005,75,rain
891,23,10,975,11,sun
892,10,9,830,5,rain
893,8,1,892,61,sun
894,18,28,812,77,rain
895,-9,12,1005,85,sun
896,14,28,1005,41,sun
897,31,5,972,13,sun
898,29,3,910,66,sun
899,26,16,855,83,rain
900,12,23,948,15,sun
901,4,27,863,82,rain
902,1,0,909,91,rain
903,14,8,967,87,sun
904,30,11,955,72,rain
905,-1,23,902,58,sun
906,15,11,914,66,sun
907,2,12,810,47,rain
908,28,21,842,0,rain
909,29,11,758,56,rain
910,18,26,873,35,sun
911,-2,29,829,58,rain
912,15,17,767,72,rain
913,5,10,772,98,rain
914,20,2,997,6,sun
915,-2,21,834,92,rain
916,6,25,855,91,rain
917,0,23,862,55,sun
918,27,25,909,76,rain
919,1,8,1004,8,sun
920,-3,5,956,80,sun
921,39,10,898,11,sun
922,22,9,874,76,sun
923,25,2,1026,50,sun
924,1,19,1028,72,sun
925,39,14,920,56,rain
926,27,24,750,57,rain
927,23,12,873,91,rain
928,2,22,875,81,rain
929,25,9,909,60,sun
930,-8,12,888,41,sun
931,35,29,828,21,rain
932,30,28,981,12,sun
933,23,26,1012,55,sun
934,30,17,1002,87,rain
935,15,12,887,50,sun
936,10,7,936,34,sun
937,12,0,754,90,rain
938,35,27,987,88,rain
939,15,6,794,17,rain
940,17,11,915,29,sun
941,35,1,846,61,rain
942,17,18,836,55,rain
943,7,13,785,20,rain
944,4,9,979,20,sun
945,-8,24,875,80,rain
946,-8,3,827,12,rain
947,31,15,872,61,rain
948,4,17,979,34,sun
949,10,7,855,90,rain
950,4,24,1024,71,sun
951,30,2,881,17,sun
952,-3,15,903,14,sun
953,25,24,981,13,sun
954,4,14,896,60,sun
955,30,0,933,16,sun
956,3,16,884,24,sun
957,29,24,919,19,sun
958,19,25,901,3,sun
959,-4,25,823,25,rain
960,24,23,950,23,sun
961,1,7,804,0,rain
962,14,18,780,76,rain
963,13,3,946,37,sun
964,24,19,935,1,sun
965,2,19,904,81,rain
966,30,28,822,77,rain
967,-6,12,838,87,rain
968,-7,11,900,96,rain
969,30,22,813,55,rain
970,-4,9,891,76,sun
971,24,28,899,43,sun
972,16,24,884,7,sun
973,21,14,971,88,sun
974,-8,14,906,48,sun
975,12,10,990,43,sun
976,7,11,884,0,sun
977,38,20,949,19,sun
978,4,9,1024,19,sun
979,-1,21,780,79,rain
980,-8,6,775,73,rain
981,37,13,966,76,rain
982,21,24,1016,21,sun
983,24,25,775,85,rain
984,21,18,907,45,sun
985,30,5,918,13,sun
986,26,21,937,8,sun
987,17,14,866,4,sun
988,18,14,804,98,rain
989,29,1,828,11,rain
990,35,29,933,7,sun
991,1,14,789,59,rain
992,36,28,1008,46,rain
993,6,11,896,61,sun
994,23,3,760,47,rain
995,25,28,941,79,rain
996,19,20,1023,29,sun
997,-4,9,758,19,rain
998,5,14,859,35,sun
999,5,19,987,10,sun
1000,24,28,761,37,rain
1001,18,20,910,46,sun
1002,16,11,864,9,sun
1003,29,10,1008,67,sun
1004,8,17,980,84,sun
1005,23,21,945,31,sun
1006,-8,5,815,74,rain
1007,39,23,1021,49,rain
1008,3,12,811,79,rain
1009,-3,28,776,18,rain
1010,29,11,833,0,rain
1011,-7,3,756,43,rain
1012,12,21,895,90,rain
1013,26,27,953,21,sun
1014,-5,17,857,47,sun
1015,24,0,988,43,sun
1016,0,3,827,9,rain
1017,6,28,762,37,rain
1018,6,2,947,28,sun
1019,7,14,884,55,sun
1020,-3,17,967,11,sun
1021,10,24,892,29,sun
1022,28,17,965,49,sun
1023,19,22,864,51,sun
1024,35,28,828,13,rain
1025,33,12,766,31,rain
1026,31,12,867,76,rain
1027,-2,29,1022,44,sun
1028,1,5,986,44,sun
1029,2,17,751,97,rain
1030,37,29,754,70,rain
1031,23,8,875,3,sun
1032,27,25,886,50,sun
1033,18,21,887,35,sun
1034,29,28,996,80,rain
1035,7,15,772,71,rain
1036,-8,13,961,60,sun
1037,0,26,757,8,rain
1038,-7,2,991,28,sun
1039,21,3,963,0,sun
1040,5,13,751,31,rain
1041,19,6,802,27,rain
1042,-7,28,790,4,rain
1043,10,8,968,86,sun
1044,22,21,870,69,sun
1045,16,12,972,35,sun
